Player, Score
Wayne Gretzky,1.799732922
Mario Lemieux,1.227823908
Alex Ovechkin,1.007733401
Bobby Orr,0.99141152
Sidney Crosby,0.986567366
Gordie Howe,0.943655626
Mark Messier,0.909803423
Jaromir Jagr,0.899856074
Guy Lafleur,0.871958483
Phil Esposito,0.840469634
Connor McDavid,0.804145826
Steve Yzerman,0.76289294
Joe Sakic,0.75419329
Jean Beliveau,0.740411172
Evgeni Malkin,0.715603589
Nicklas Lidstrom,0.715272868
Bryan Trottier,0.710755084
Marcel Dionne,0.704336626
Mike Bossy,0.69794316
Stan Mikita,0.685636506
Ray Bourque,0.672652364
Brett Hull,0.660801645
Patrick Kane,0.659126431
Paul Coffey,0.653114606
Bobby Hull,0.63519401
Ron Francis,0.621390479
Jari Kurri,0.618864848
Bobby Clarke,0.605733123
Sergei Fedorov,0.595545118
Yvan Cournoyer,0.562045826
Al Macinnis,0.559016448
Denis Potvin,0.55295657
Joe Nieuwendyk,0.551741475
Mark Recchi,0.551504356
Maurice Richard,0.549871796
Jarome Iginla,0.548996011
Teemu Selanne,0.545897
Joe Thornton,0.541237618
Martin St. Louis,0.540076923
Glenn Anderson,0.538819414
Larry Robinson,0.536569514
Brendan Shanahan,0.531476379
Doug Gilmour,0.529555636
Luc Robitaille,0.529478173
Denis Savard,0.526327964
Nikita Kucherov,0.518829833
Dale Hawerchuk,0.517831597
Jean Ratelle,0.517079186
Bernie Geoffrion,0.515168299
Johnny Bucyk,0.511711789
Brian Leetch,0.510632614
Patrice Bergeron,0.510434192
Mike Modano,0.507935747
Frank Mahovlich,0.506971157
Steven Stamkos,0.506922043
Peter Forsberg,0.50689519
Gilbert Perreault,0.504441395
Henri Richard,0.504224878
Mike Gartner,0.502317703
Peter Stastny,0.500570316
Dave Keon,0.493462944
Jonathan Toews,0.493420842
Alex Delvecchio,0.492449162
Adam Oates,0.490462726
Pierre Turgeon,0.490272589
Joe Mullen,0.48965637
Dave Andreychuk,0.487415854
Mats Sundin,0.485850248
Pavel Datsyuk,0.484498407
Dino Ciccarelli,0.483214586
Marian Hossa,0.483199757
Butch Goring,0.481726298
Leon Draisaitl,0.481570409
Anze Kopitar,0.478860683
Jacques Lemaire,0.476664134
Doug Harvey,0.476599922
Bernie Nicholls,0.474335269
Henrik Zetterberg,0.472693672
Eric Lindros,0.470380629
Rod Brind'Amour,0.467809764
Michel Goulet,0.466334057
Brad Richards,0.464962564
Claude Lemieux,0.464809413
Jeremy Roenick,0.458809776
Alexander Mogilny,0.455086169
Auston Matthews,0.452554114
Chris Chelios,0.452264663
Larry Murphy,0.452055102
Red Kelly,0.451967641
Bernie Federko,0.449941604
Steve Larmer,0.449342922
Pat LaFontaine,0.448837437
Vincent Damphousse,0.444348728
Darryl Sittler,0.444211504
Theo Fleury,0.442944726
Daniel Sedin,0.441423881
Patrick Marleau,0.441287994
Pavel Bure,0.440771731
Norm Ullman,0.440699087
Bobby Smith,0.440305321
Brian Propp,0.43942272
Daniel Alfredsson,0.436835517
Brian Bellows,0.43373848
Rick Middleton,0.431755301
Steve Shutt,0.428515978
Lanny Mcdonald,0.428038286
Corey Perry,0.427532466
Bill Barber,0.427249855
Patrik Elias,0.426223189
Justin Williams,0.426117587
Scott Niedermayer,0.423441522
Ted Lindsay,0.422448756
Scott Stevens,0.421586339
Keith Tkachuk,0.42063797
Dickie Moore,0.419803018
Joe Pavelski,0.418220089
